date,amount,category,text
2026-01-01,15000,식비,새해 첫 식사(떡국)
2026-01-02,1250,교통비,지하철(출근)
2026-01-02,8500,식비,점심식사
2026-01-03,45000,여가생활비,주말 영화 관람
2026-01-04,32000,쇼핑,겨울 목도리 구매
2026-01-05,9000,식비,저녁 배달
2026-01-06,1250,교통비,버스(외출)
2026-01-07,15000,의료비,치과 정기 검진
2026-01-08,5500,식비,카페 커피
2026-01-09,12000,쇼핑,핸드크림/립밤 구매
2026-01-10,120000,이체,주택청약 저축
2026-01-11,25000,여가생활비,서점 도서 구매
2026-01-12,1250,교통비,지하철
2026-01-13,8000,식비,구내식당
2026-01-14,55000,자기계발비,영어 회화 강의
2026-01-15,13000,식비,햄버거 세트
2026-01-16,4200,쇼핑,생필품
2026-01-17,150000,여행/숙박비,주말 근교 펜션
2026-01-18,12000,식비,펜션 근처 식당
2026-01-19,1250,교통비,버스
2026-01-20,35000,자기관리비,미용실
2026-01-21,9500,식비,돈까스
2026-01-22,60000,선물,친구 결혼 축의금
2026-01-23,1250,교통비,지하철
2026-01-24,28000,여가생활비,전시회 관람
2026-01-25,12000,식비,야식 치킨(반반)
2026-01-26,3000,쇼핑,다이소 정리함
2026-01-27,8000,식비,점심(샌드위치)
2026-01-28,1250,교통비,버스
2026-01-29,15000,의료비,감기약/영양제
2026-01-30,50000,쇼핑,SPA 브랜드 바지
2026-01-31,22000,식비,가족 외식
2026-01-31,12000,여가생활비,보드게임 카페
2026-01-31,5000,쇼핑,문구류 구매
2026-01-31,100000,이체,비상금 통장 이동
